SI.NO,PART NO,SKU Number,PART NAME,QUANTITY,LOCATION,CATEGORY CODE,SUB CATEGORY DIGIT,Item Number,Unique Serial,Description /Specifications,Storage Details,Product Dimensions (for shipping),Product Weight (GRAMS),Minimum Stock Level,Images / Links,User,Date ,Comments,Product Family,
1,YC.JG.ZS001436.07,940011,GImbal Upper Vibration Board,4,Dock Room,9 Frames & Protective Covers,Gimbal & Vibration Boards,1,1,,,,,,,,,,Mavic,
2,YC.JG.ZS001433.07,940021,GImbal Lower Vibration Board,5,Dock Room,9 Frames & Protective Covers,Gimbal & Vibration Boards,2,1,,,,,,,,,,Mavic,
3,YC.JG.ZS001363.03,920011,Aircraft Front Cover,1,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,1,1,,,,,,,,,,Mavic,
4,YC.JG.ZS001380.04,920021,Aircraft Port Cover,5,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,2,1,,,,,,,,,,Mavic,
5,BC.EN.SS000533.01,950011,Aircraft arm module (Front Left),4,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,1,1,,,,,,,,,,Mavic,
6,BC.MA.SS000413.01,950021,Aircraft arm module (Front Right),5,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,2,1,,,,,,,,,,Mavic,
7,BC.MA.SS000416.01,950031,Aircraft Arm module (Rear Left),5,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,3,1,,,,,,,,,,Mavic,
8,BC.MA.SS000417.01,950041,Aircraft arm module (Rear Right),5,Dock Room,9 Frames & Protective Covers,Aircraft Arm Modules,4,1,,,,,,,,,,Mavic,
9,YC.JG.ZS001353.06,920031,Axis Cover(Rear Right),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,3,1,,,,,,,,,,Mavic,
10,YC.JG.ZS001354.06,920041,Axis Cover(Rear Left),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,4,1,,,,,,,,,,Mavic,
11,YC.JG.ZS001356.07,920051,Axis Cover(Front Right),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,5,1,,,,,,,,,,Mavic,
12,YC.JG.ZS001358.07,920061,Axis Cover(Front Left),4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,6,1,,,,,,,,,,Mavic,
13,YC.JG.ZS001383.05,920071,Bottom Shell Baffle,4,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,7,1,,,,,,,,,,Mavic,
14,YC.JG.ZS001352.05,920081,Arm Rotating Axis Cable Cover(Rear Right),3,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,8,1,,,,,,,,,,Mavic,
15,YC.JG.ZS001355.06,920091,Arm Rotating Axis Cable Cover(Rear Left),3,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,9,1,,,,,,,,,,Mavic,
86,,030011,Engine Oil Kit,1,Warehouse,0 Fasteners & Miscellaneous,Lubricants & Consumables,1,1,,,,,,,,,,AGRAS DRONES,
17,BC.MA.PP00581.03,630011,Compass Module,4,Dock Room,6 Sensors & Radars,Compass Modules,1,1,,,,,,,,,,Mavic,
18,BC.MA.SS000402.01,620011,Downward Infrared sensing system module,4,Dock Room,6 Sensors & Radars,Infrared Sensors,1,1,,,,,,,,,,Mavic,
19,BC.EN.SS000528.01,920101,Aircraft Upper Cover Module,0,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,10,1,,,,,,,,,,Mavic,
20,YC.JG.ZS000725.02,920111,Rear Cover of Aircraft,19,Dock Room,9 Frames & Protective Covers,Protective Covers & Stickers,11,1,,,,,,,,,,Mavic,
